단지명,전용면적(㎡),층,건축년도,도로명,면적당 단가(만원),아파트 나이,계약일자,alpha,경도,위도
롯데,84.99,12,2003,동호로 84,7.109612575612975,17,2020-07-11,1.0,127.016811877112,37.5467697240475
성원,84.95,6,2001,연희로32길 48,6.7561518720125875,19,2020-07-11,1.0,126.937263003322,37.5758600491846
홍은미성,127.33,9,1985,연희로41길 114,6.219856220756465,35,2020-07-11,0.0,126.935625566001,37.5940633704377
우성2,84.47,1,1986,대방천로 180,7.056326315913304,34,2020-07-11,0.0,126.91171774768,37.4971007008112
연희자이엘라,13.642,13,2014,연희로5길 14,7.115980896158823,6,2020-07-11,1.0,126.928064959316,37.5640636580947
마젤란,95.52,2,2008,경인로47길 128,6.596914871387204,12,2020-07-11,1.0,126.863921148452,37.5045853756561
다성이즈빌아파트(388-4),84.01,12,2004,천중로44길 74,6.646580641112236,16,2020-07-11,1.0,127.138967167906,37.5378583665752
센트라스,115.99,12,2016,왕십리로 410,7.363737451329773,4,2020-07-11,1.0,127.024082467223,37.5666029325047
센트라스,84.96,6,2016,왕십리로 410,7.505768817826309,4,2020-07-11,1.0,127.024082467223,37.5666029325047
왕십리KCC스위첸,68.733,10,2016,무학봉길 35,7.282696031727762,4,2020-07-11,1.0,127.026874753169,37.5606055683506
래미안 개포 루체하임,84.97,6,2018,개포로110길 50,7.920778141324389,2,2020-07-11,1.0,127.079624225204,37.4895410084374
성원,84.98,17,1998,동일로 459,6.5257823548418905,22,2020-07-11,1.0,127.079626865015,37.5712053276067
래미안위브,121.94,2,2014,답십리로 130,6.971760608958049,6,2020-07-11,1.0,127.052401156065,37.5728549565736
홍제원현대(459-0),59.93,12,2000,통일로34길 43,7.063073306561402,20,2020-07-11,1.0,126.948807747156,37.5883336578387
동서울한양,59.67,9,1989,답십리로 184,6.7892178110002686,31,2020-07-11,0.0,127.060502369282,37.5722517408702
방주아크빌,76.57,8,2002,오목로7길 35,6.340009364963464,18,2020-07-11,1.0,126.840661621562,37.5246961408733
한진(609-1),84.87,5,1998,성북로4길 52,6.681720784918781,22,2020-07-11,1.0,127.012706037821,37.5944725333435
잠실올림픽공원아이파크,59.93,16,2019,올림픽로43길 34,7.808406240291918,1,2020-07-11,1.0,127.114443667858,37.5249190964012
방배자이,164.96,8,2003,방배로18길 67,7.029947160964978,17,2020-07-11,1.0,126.998962822981,37.4859662363174
한진(609-1),59.58,15,1998,성북로4길 52,6.84578702243215,22,2020-07-11,1.0,127.012706037821,37.5944725333435
꿈의숲푸르지오,59.65,7,2010,오패산로16가길 40,6.993648400333849,10,2020-07-11,1.0,127.038697476749,37.6099055249615
문정래미안,120.97,3,2004,문정로 83,6.9642429619299975,16,2020-07-11,1.0,127.130231968818,37.4892043157404
