단지명,전용면적(㎡),층,건축년도,도로명,면적당 단가(만원),아파트 나이,계약일자,alpha
대림e-편한세상,59.958,14,2003,한천로63길 10,1225.8581006704694,17,2020-07-11,1.0
상암월드컵파크10단지,84.89,2,2010,월드컵북로 502-36,1077.8654729650136,10,2020-07-11,1.0
창신쌍용2,106.62,14,1993,낙산길 198,698.7432001500656,27,2020-07-11,0.49068905956085174
수명산SKVIEW,84.94,3,2009,월정로 306,800.5651047798447,11,2020-07-11,1.0
시영2단지(라이프)아파트,34.44,15,1994,섬밭로 156,850.7549361207898,26,2020-07-11,0.8819613125486943
시영2단지(라이프)아파트,49.5,9,1994,동일로198가길 149,828.2828282828283,26,2020-07-11,0.5559900001923082
중계그린1단지,39.78,5,1990,동일로207길 17,955.253896430367,30,2020-07-11,0.0
목동신시가지14,71.4,5,1987,목동동로 130,2037.81512605042,33,2020-07-11,0.0
풍림아이원,84.767,15,2004,뚝섬로 51,1757.7595054679298,16,2020-07-11,1.0
보라매우성,84.96,18,1995,보라매로5길 5,644.4209039548023,25,2020-07-11,0.43082708345352594
건영2,75.02,1,1991,덕릉로 517,886.4302852572648,29,2020-07-11,0.20951340729540824
한신플러스C,59.91,14,2004,동소문로15길 99,1168.419295610082,16,2020-07-11,1.0
인왕산2차아이파크,112.5301,7,2015,통일로18길 34,1093.0408841723236,5,2020-07-11,1.0
경남1,96.98,12,1984,언주로 110,2165.3949267890284,36,2020-07-11,0.0
주공2,44.52,8,1992,한글비석로14길 8,786.1635220125786,28,2020-07-11,0.6325226689215366
개포6차우성아파트1동~8동,79.97,4,1987,언주로 3,2123.296236088533,33,2020-07-11,0.0
양천벽산블루밍3단지,59.99,10,2006,월정로7길 24,915.1525254209034,14,2020-07-11,1.0
보라매삼성,84.84,3,1996,보라매로 62,915.8415841584158,24,2020-07-11,1.0
서울숲리버뷰자이,84.96,18,2018,고산자로2길 65,1883.2391713747647,2,2020-07-11,1.0
대우,59.98,10,2001,보국문로30길 15,815.2717572524175,19,2020-07-11,1.0
트리움팰리스,21.7,10,2013,월정로20길 62-7,599.0783410138249,7,2020-07-11,1.0
서울숲리버뷰자이,84.9,12,2018,고산자로2길 65,1765.6065959952884,2,2020-07-11,1.0
경남아너스빌,84.97,5,2005,창전로2길 42,1153.3482405554903,15,2020-07-11,1.0
마곡수명산파크2단지,84.53,1,2007,강서로47길 158,945.2265467881225,13,2020-07-11,1.0
