단지명,전용면적(㎡),층,건축년도,도로명,면적당 단가(만원),아파트 나이,구,계약일자,계약년월,alpha,경도,위도
서광아파트,84.9,5,1998,선릉로130길 19,6.678408783543319,14,강남구,2012-08-11,201208,0.5333333333333333,127.042937103599,37.5170321477204
개포주공1단지,41.98,1,1982,개포로 310,7.222346912392955,30,강남구,2012-08-11,201208,0.0,127.057847776427,37.4802867173431
진넥스빌2,23.85,10,2003,언주로86길 7,6.653741793732066,9,강남구,2012-08-11,201208,0.7,127.043959880694,37.5017761414894
개포주공7단지,60.76,4,1983,개포로 516,6.826175291989714,29,강남구,2012-08-13,201208,0.033333333333333326,127.070871480537,37.4891406792843
개나리래미안,59.95,14,2006,역삼로 306,7.090910516524669,6,강남구,2012-08-13,201208,0.8,127.046959597261,37.4989772734253
개포우성1,84.81,9,1983,선릉로 120,7.0824623354497875,29,강남구,2012-08-14,201208,0.033333333333333326,127.057979748729,37.4915930435874
청담건영,84.595,10,1994,도산대로89길 49,6.689387820947484,18,강남구,2012-08-14,201208,0.4,127.052262895257,37.5275736339667
도곡렉슬,84.9984,4,2006,선릉로 221,7.119083196355921,6,강남구,2012-08-14,201208,1.0,127.049734781209,37.4942068396456
한양1차(영동한양),78.05,1,1977,압구정로 321,7.0163137506752795,35,강남구,2012-08-14,201208,0.0,127.038376464689,37.5295119716843
한진로즈힐,84.94,4,2004,도산대로46길 21,6.568453519133808,8,강남구,2012-08-14,201208,0.7333333333333334,127.037093416442,37.5208421273132
삼성,84.97,1,1997,광평로31길 27,6.426270195564265,15,강남구,2012-08-16,201208,0.5,127.089778957788,37.484837855733
삼성동힐스테이트 1단지,26.5,11,2008,학동로68길 29,7.281268787283699,4,강남구,2012-08-17,201208,0.8666666666666667,127.04718779295,37.5165602922999
개포주공6단지,73.02,7,1983,개포로 516,6.806676644781072,29,강남구,2012-08-17,201208,0.033333333333333326,127.070871480537,37.4891406792843
동구싼타빌,80.91,3,2004,영동대로112길 24,6.38561886407028,8,강남구,2012-08-17,201208,0.7333333333333334,127.062269780876,37.5151589109052
신현대11차,183.41,10,1983,압구정로 151,7.15348678290553,29,강남구,2012-08-17,201208,0.033333333333333326,127.024454982256,37.5267858196588
동현아파트1~6,119.67,1,1985,언주로146길 18,6.611653694128852,27,강남구,2012-08-17,201208,0.09999999999999998,127.037495479745,37.5202259846506
동양파라곤,213.98,1,2004,언주로130길 30,7.121602552257899,8,강남구,2012-08-17,201208,0.7333333333333334,127.038268406315,37.5150856927028
수서한아름,129.45,2,1993,광평로51길 22,6.448737816393292,19,강남구,2012-08-17,201208,0.3666666666666667,127.103957177072,37.4902172303572
삼성동신도브래뉴,104.191,6,2010,삼성로103길 12,6.494185703773635,2,강남구,2012-08-17,201208,0.9333333333333333,127.053410791714,37.5103690964957
미성2차,140.9,2,1987,압구정로 113,6.873829253792914,25,강남구,2012-08-18,201208,0.16666666666666663,127.018445606778,37.5244043008813
"현대7차(73~77,82,85동)",157.36,5,1979,압구정로 201,7.119651267959834,33,강남구,2012-08-18,201208,0.0,127.029273123095,37.5315341736395
삼성동롯데아파트,84.87,20,2000,학동로 432,6.810440026854235,12,강남구,2012-08-18,201208,0.6,127.048697131099,37.5182040108372
개포주공5단지,74.25,10,1983,삼성로4길 17,6.855930211117551,29,강남구,2012-08-19,201208,0.052832083357371856,127.06903483437,37.4879144140576
대치삼성,59.88,9,2000,도곡로78길 22,6.82274590466318,12,강남구,2012-08-20,201208,0.6,127.0588476129,37.4966357303128
휴먼스타빌,39.95,10,2005,도산대로 454,6.775474668259267,7,강남구,2012-08-20,201208,0.7666666666666666,127.046056275002,37.5236847892354
개포주공4단지,35.64,4,1982,삼성로 14,7.184434278089587,30,강남구,2012-08-20,201208,0.0,127.068451024326,37.4861548149371
